analysis_id,tier_id,continent_id,resolution_id,scale_id,cv_budget_status,cv_budget_assignment_scope,cv_budget_source_scale_id,cv_budget_order,cv_n_iter_initial,cv_n_iter_max,cv_n_sampling,cv_n_step_size,cv_n_early_stopping,cv_measured_seconds_per_fit,cv_measured_seconds_per_epoch
paleo_spatial,local,europe,genus,eu_r002_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r002_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r002_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r002_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r002_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r003_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r003_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r003_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r003_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r004_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r004_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r004_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r004_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l009,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l010,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l011,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l012,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l013,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l014,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l015,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r005_l016,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r006_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r007_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r007_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r007_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r007_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l009,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l010,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l011,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l012,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l013,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l014,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l015,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r008_l016,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l001,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l002,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l003,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l004,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l005,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l006,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l007,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,europe,genus,eu_r009_l008,calibrated,exact_group,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r001_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r001_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r001_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r001_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l005,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l006,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l007,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r002_l008,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r003_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r003_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r003_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r003_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l005,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l006,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l007,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r004_l008,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l005,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l006,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l007,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l008,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l009,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l010,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l011,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l012,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l013,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l014,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l015,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r005_l016,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l005,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l006,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l007,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r006_l008,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l005,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l006,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l007,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r007_l008,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r008_l001,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r008_l002,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r008_l003,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r008_l004,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r008_l005,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r008_l006,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
paleo_spatial,local,america,genus,am_r008_l007,calibrated,tier_fallback,eu_r005_l006,1,500,2000,200,NA,NA,8.745000000000033,0.02673614022217574
